                        Normal                                           UV                                         Pos
(       0.361237,        0.208559,       -0.908852) | (       0.833333,       -0.840986) | (        16.8319,         9.27777,        -12.4943)
(       0.417118,     1.22669e-07,       -0.908852) | (           0.75,       -0.840986) | (        19.3179,    -1.72064e-07,        -12.4943)
(       0.627914,     1.36314e-07,       -0.778283) | (           0.75,       -0.850001) | (        18.9467,    -5.22427e-08,        -12.7938)
(       0.627914,     1.36314e-07,       -0.778283) | (           0.75,       -0.850001) | (        18.9467,    -5.22427e-08,        -12.7938)
(       0.543791,        0.313957,       -0.778281) | (       0.833333,       -0.850001) | (        16.5104,         9.09218,        -12.7938)
(       0.361237,        0.208559,       -0.908852) | (       0.833333,       -0.840986) | (        16.8319,         9.27777,        -12.4943)
(        0.20856,        0.361236,       -0.908852) | (       0.101779,        0.729913) | (        10.0401,         16.0696,        -12.4943)
(       0.361237,        0.208559,       -0.908852) | (       0.270087,        0.898222) | (        16.8319,         9.27777,        -12.4943)
(       0.543791,        0.313957,       -0.778281) | (       0.274686,        0.890255) | (        16.5104,         9.09218,        -12.7938)
(       0.543791,        0.313957,       -0.778281) | (       0.274686,        0.890255) | (        16.5104,         9.09218,        -12.7938)
(       0.313959,        0.543793,       -0.778279) | (       0.109745,        0.725314) | (        9.85449,         15.7481,        -12.7938)
(        0.20856,        0.361236,       -0.908852) | (       0.101779,        0.729913) | (        10.0401,         16.0696,        -12.4943)
(   -2.06853e-07,         0.41712,       -0.908851) | (              1,       -0.840986) | (       0.762317,         18.5555,        -12.4943)
(        0.20856,        0.361236,       -0.908852) | (       0.916667,       -0.840986) | (        10.0401,         16.0696,        -12.4943)
(       0.313959,        0.543793,       -0.778279) | (       0.916667,       -0.850001) | (        9.85449,         15.7481,        -12.7938)
(       0.313959,        0.543793,       -0.778279) | (       0.916667,       -0.850001) | (        9.85449,         15.7481,        -12.7938)
(    -7.3269e-07,        0.627919,       -0.778279) | (              1,       -0.850001) | (       0.762316,         18.1844,        -12.7938)
(   -2.06853e-07,         0.41712,       -0.908851) | (              1,       -0.840986) | (       0.762317,         18.5555,        -12.4943)
(       -0.20856,        0.361236,       -0.908852) | (        1.08333,       -0.840986) | (       -8.51546,         16.0696,        -12.4943)
(   -2.06853e-07,         0.41712,       -0.908851) | (              1,       -0.840986) | (       0.762317,         18.5555,        -12.4943)
(    -7.3269e-07,        0.627919,       -0.778279) | (              1,       -0.850001) | (       0.762316,         18.1844,        -12.7938)
(    -7.3269e-07,        0.627919,       -0.778279) | (              1,       -0.850001) | (       0.762316,         18.1844,        -12.7938)
(      -0.313958,        0.543791,       -0.778281) | (        1.08333,       -0.850001) | (       -8.32986,         15.7481,        -12.7938)
(       -0.20856,        0.361236,       -0.908852) | (        1.08333,       -0.840986) | (       -8.51546,         16.0696,        -12.4943)
(      -0.361238,        0.208561,       -0.908851) | (       0.270087,        0.101779) | (       -15.3073,         9.27778,        -12.4943)
(       -0.20856,        0.361236,       -0.908852) | (       0.101778,        0.270087) | (       -8.51546,         16.0696,        -12.4943)
(      -0.313958,        0.543791,       -0.778281) | (       0.109745,        0.274686) | (       -8.32986,         15.7481,        -12.7938)
(      -0.313958,        0.543791,       -0.778281) | (       0.109745,        0.274686) | (       -8.32986,         15.7481,        -12.7938)
(      -0.543794,        0.313959,       -0.778279) | (       0.274686,        0.109745) | (       -14.9858,         9.09218,        -12.7938)
(      -0.361238,        0.208561,       -0.908851) | (       0.270087,        0.101779) | (       -15.3073,         9.27778,        -12.4943)
(      -0.417121,     5.65239e-08,       -0.908851) | (           0.25,       -0.840986) | (       -17.7932,      2.6092e-06,        -12.4943)
(      -0.361238,        0.208561,       -0.908851) | (       0.166667,       -0.840986) | (       -15.3073,         9.27778,        -12.4943)
(      -0.543794,        0.313959,       -0.778279) | (       0.166667,       -0.850001) | (       -14.9858,         9.09218,        -12.7938)
(      -0.543794,        0.313959,       -0.778279) | (       0.166667,       -0.850001) | (       -14.9858,         9.09218,        -12.7938)
(      -0.627919,     1.53354e-07,       -0.778279) | (           0.25,       -0.850001) | (        -17.422,     2.69516e-06,        -12.7938)
(      -0.417121,     5.65239e-08,       -0.908851) | (           0.25,       -0.840986) | (       -17.7932,      2.6092e-06,        -12.4943)
(       -0.36124,       -0.208562,        -0.90885) | (       0.333333,       -0.840986) | (       -15.3073,        -9.27777,        -12.4943)
(      -0.417121,     5.65239e-08,       -0.908851) | (           0.25,       -0.840986) | (       -17.7932,      2.6092e-06,        -12.4943)
(      -0.627919,     1.53354e-07,       -0.778279) | (           0.25,       -0.850001) | (        -17.422,     2.69516e-06,        -12.7938)
(      -0.627919,     1.53354e-07,       -0.778279) | (           0.25,       -0.850001) | (        -17.422,     2.69516e-06,        -12.7938)
(      -0.543801,       -0.313961,       -0.778273) | (       0.333333,       -0.850001) | (       -14.9858,        -9.09218,        -12.7938)
(       -0.36124,       -0.208562,        -0.90885) | (       0.333333,       -0.840986) | (       -15.3073,        -9.27777,        -12.4943)
(      -0.208561,       -0.361237,       -0.908851) | (       0.898221,        0.270087) | (       -8.51546,        -16.0696,        -12.4943)
(       -0.36124,       -0.208562,        -0.90885) | (       0.729913,        0.101778) | (       -15.3073,        -9.27777,        -12.4943)
(      -0.543801,       -0.313961,       -0.778273) | (       0.725314,        0.109745) | (       -14.9858,        -9.09218,        -12.7938)
