                        Normal                                           UV                                         Pos
(      0.0064633,        0.961321,       -0.275354) | (       0.627441,        0.772705) | (        2.35748,        -30.9814,       -0.590135)
(      0.0064633,        0.961321,       -0.275354) | (       0.635742,        0.787231) | (        2.30713,        -30.8105,      0.00532731)
(      0.0064633,        0.961321,       -0.275354) | (       0.630371,        0.788452) | (        2.64587,        -30.8105,       0.0132786)
(     0.00668362,        0.958582,        -0.28474) | (       0.631836,         1.80127) | (        2.27051,        -30.6885,        0.415419)
(     0.00668362,        0.958581,        -0.28474) | (       0.630371,         1.78857) | (        2.64587,        -30.8105,       0.0132786)
(     0.00668362,        0.958581,        -0.28474) | (       0.635742,         1.78711) | (        2.30713,        -30.8105,      0.00532731)
(      0.0203338,        0.957726,       -0.286963) | (       0.638672,         1.83643) | (        2.75726,        -30.2979,         1.90735)
(      0.0203338,        0.957726,       -0.286963) | (        0.63623,         1.82178) | (        2.27051,        -30.4443,         1.38397)
(      0.0203338,        0.957726,       -0.286963) | (       0.657715,          1.8374) | (        2.29645,        -30.2734,         1.95618)
(              0,     1.36028e-07,              -1) | (        0.94873,        0.530518) | (        2.57568,        -55.4199,        0.695035)
(              0,     2.44141e-07,              -1) | (       0.948242,        0.530518) | (        2.52228,        -55.4199,        0.695035)
(              0,     2.44141e-07,              -1) | (       0.948242,        0.529053) | (        2.52228,        -55.1758,        0.695035)
(              0,     1.32727e-07,              -1) | (       0.908691,        0.530518) | (       -2.59857,        -55.4199,        0.695035)
(              0,     2.44141e-07,              -1) | (        0.90918,        0.529053) | (       -2.52228,        -55.1758,        0.695035)
(              0,     2.44141e-07,              -1) | (        0.90918,        0.530518) | (       -2.52228,        -55.4199,        0.695035)
(     -0.0258624,        0.560728,       -0.827596) | (       0.942871,          0.0625) | (       -3.87573,        -76.3672,         2.93884)
(     -0.0258624,        0.560728,       -0.827596) | (       0.950195,          0.0625) | (       -3.38745,        -76.3672,         2.92358)
(     -0.0258624,        0.560728,       -0.827596) | (         0.9375,       0.0532227) | (       -3.57361,        -76.8555,         2.59857)
(     -0.0258249,        0.562498,        0.826395) | (         0.9375,        0.105469) | (       -3.57361,        -76.8555,           4.953)
(     -0.0258249,        0.562498,        0.826395) | (       0.950195,       0.0966797) | (       -3.38745,        -76.3672,         4.62646)
(     -0.0258249,        0.562498,        0.826395) | (       0.942871,       0.0966797) | (       -3.87573,        -76.3672,          4.6112)
(     -0.0249584,       -0.601254,       -0.798668) | (       0.709961,       0.0571289) | (       -3.87573,        -92.0898,         2.93884)
(     -0.0249584,       -0.601254,       -0.798668) | (       0.713379,       0.0512695) | (       -3.57361,        -91.6504,         2.59857)
(     -0.0249584,       -0.601254,       -0.798668) | (       0.705566,       0.0571289) | (       -3.38745,        -92.0898,         2.92358)
(     -0.0249168,        -0.60302,        0.797337) | (       0.713379,       0.0849609) | (       -3.57361,        -91.6504,           4.953)
(     -0.0249168,        -0.60302,        0.797337) | (       0.709961,       0.0791016) | (       -3.87573,        -92.0898,          4.6112)
(     -0.0249168,        -0.60302,        0.797337) | (       0.705566,       0.0791016) | (       -3.38745,        -92.0898,         4.62646)
(      0.0249721,        0.459365,       -0.887896) | (       0.942871,          0.0625) | (        3.87573,        -76.3672,         3.02734)
(      0.0249721,        0.459365,       -0.887896) | (         0.9375,       0.0532227) | (        3.63464,        -76.8555,         2.76794)
(      0.0249721,        0.459365,       -0.887896) | (       0.950195,          0.0625) | (        3.38745,        -76.3672,         3.01361)
(      0.0277622,         0.45825,         0.88839) | (         0.9375,        0.105469) | (        3.63464,        -76.8555,          4.7821)
(      0.0277622,         0.45825,         0.88839) | (       0.942871,       0.0966797) | (        3.87573,        -76.3672,          4.5227)
(      0.0277622,         0.45825,         0.88839) | (       0.950195,       0.0966797) | (        3.38745,        -76.3672,         4.53796)
(      0.0243761,       -0.498224,       -0.866706) | (       0.709961,       0.0571289) | (        3.87573,        -92.0898,         3.02734)
(      0.0243761,       -0.498224,       -0.866706) | (       0.705566,       0.0571289) | (        3.38745,        -92.0898,         3.01361)
(      0.0243761,       -0.498224,       -0.866706) | (       0.713379,       0.0512695) | (        3.63464,        -91.6504,         2.76794)
(      0.0271027,       -0.497071,        0.867287) | (       0.713379,       0.0849609) | (        3.63464,        -91.6504,          4.7821)
(      0.0271027,       -0.497071,        0.867286) | (       0.705566,       0.0791016) | (        3.38745,        -92.0898,         4.53796)
(      0.0271027,       -0.497071,        0.867286) | (       0.709961,       0.0791016) | (        3.87573,        -92.0898,          4.5227)
(       0.906472,        0.152406,       -0.393804) | (       0.740723,        0.113281) | (        2.37274,        -29.5654,       -0.340082)
(       0.906472,        0.152406,       -0.393804) | (       0.742188,         0.12207) | (        2.49481,        -29.3945,      0.00704398)
(       0.906472,        0.152406,       -0.393804) | (       0.740723,        0.123047) | (        2.52075,        -29.4678,       0.0384079)
(     -0.0613781,        0.972007,       -0.226791) | (        0.73877,        0.105957) | (        2.49481,        -29.6387,       -0.687028)
(     -0.0613781,        0.972008,       -0.226791) | (       0.740723,        0.113281) | (        2.37274,        -29.5654,       -0.340082)
(     -0.0613781,        0.972007,       -0.226791) | (       0.740723,        0.123047) | (        2.52075,        -29.4678,       0.0384079)
(      0.0964727,         0.96647,        -0.23797) | (       0.742676,        0.379883) | (       -2.49481,        -29.6387,       -0.687028)
(      0.0964727,         0.96647,        -0.23797) | (       0.745117,        0.370605) | (       -2.49481,        -29.4678,      0.00704398)
(      0.0964727,         0.96647,        -0.23797) | (       0.745605,        0.375977) | (       -2.37274,        -29.5654,       -0.340082)
(       0.515572,               0,       -0.856846) | (       0.567383,        0.575439) | (       0.943756,        -28.5156,         3.35083)
(       0.515572,               0,       -0.856846) | (       0.568359,        0.591797) | (        1.39008,        -28.5156,         3.61938)
(       0.515572,               0,       -0.856846) | (        0.56543,        0.575439) | (       0.943756,        -28.5889,         3.35083)
(      -0.998822,       0.0456884,        0.016366) | (         0.3396,        0.171387) | (       -2.20032,        -41.8457,         7.24487)
(      -0.998822,       0.0456884,        0.016366) | (       0.349609,         0.16748) | (       -2.23389,        -42.5293,         7.10449)
(      -0.998822,       0.0456884,        0.016366) | (       0.342041,        0.179199) | (       -2.20032,        -41.9922,         7.65381)
(       0.999803,       0.0187091,      0.00670175) | (       0.214478,        0.414063) | (        1.85699,        -41.8457,         7.24487)
(       0.999803,       0.0187091,      0.00670175) | (       0.212036,         0.42627) | (        1.85699,        -41.9922,         7.65381)
(       0.999803,       0.0187091,      0.00670175) | (       0.202759,        0.410156) | (        1.87073,        -42.5293,         7.10449)
(      -0.835065,       0.0446791,       -0.548335) | (       0.298584,        0.168457) | (       -2.23389,        -38.9893,         7.13501)
(      -0.835065,       0.0446791,       -0.548335) | (       0.299561,        0.162598) | (       -2.06146,        -39.0625,         6.86645)
(      -0.835065,       0.0446791,       -0.548335) | (       0.345947,        0.163574) | (       -2.23389,        -42.2852,         6.86645)
(       0.771271,         0.51272,       -0.377173) | (       0.156738,        0.303223) | (        2.31323,        -45.0684,         4.26025)
(       0.771271,         0.51272,       -0.377173) | (       0.152954,         0.29541) | (        2.31323,        -45.2637,         3.99475)
(       0.771271,         0.51272,       -0.377173) | (       0.157837,         0.29541) | (         2.1347,        -44.9951,         3.99475)
(      -0.571558,       -0.807326,       -0.146787) | (       0.297852,        0.163574) | (       -2.23389,        -38.9404,         6.86645)
(      -0.571558,       -0.807326,       -0.146787) | (       0.299561,        0.162598) | (       -2.06146,        -39.0625,         6.86645)
